Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
139046023,-8.953606844,-33.96578122,-47.83237457,-23.85344826,4.211110698,123.999079,-62.13147371,-18.03805581,
142047023,-8.899383418,-35.37539732,-48.30983672,-23.26862691,4.233415681,122.6010049,-61.55826263,-10.27451147,
145048024,-8.91831544,-36.47624117,-47.9767575,-24.22923826,4.208516042,121.2343575,-66.23428506,-16.94412431,
148049024,-8.916536634,-37.40468166,-48.41429898,-22.24220835,4.18757741,119.9406662,-66.97729389,-0.9836841436,
151050025,-8.911693807,-38.43736851,-48.35745079,-24.83098005,4.167714215,118.6267389,-73.88762926,17.36202824,
154051025,-8.908544307,-39.43149514,-48.25024043,-28.23814152,4.145707458,117.2666622,-71.29343314,55.87778022,
157052026,-8.901575593,-40.46035666,-48.51527057,-30.89434213,4.126092175,115.9076491,-69.81836104,104.2310874,
160053026,-8.893354227,-41.45719813,-48.55334254,-28.62505692,4.108387338,114.5666269,-66.32429167,107.136221,
163054027,-8.883540029,-42.50474333,-48.18072102,-28.9688699,4.089300442,113.1864702,-64.45268983,142.3105126,
166055027,-8.874430242,-43.55776992,-48.18268607,-32.58807191,4.074092991,111.8025013,-63.21908637,146.3788521,
169056028,-8.862154176,-44.65155327,-48.51875688,-33.07668147,4.058704155,110.4335164,-61.39914737,151.2417639,
172057028,-8.848905671,-45.74837826,-48.17894352,-34.35036136,4.041055813,109.0726457,-60.28291145,151.8722676,
175058029,-8.827964808,-46.89209101,-48.52071396,-33.82667723,4.023990247,107.738373,-60.20825768,156.1272424,
178059029,-8.806685377,-47.88882311,-48.16360605,-32.65239271,4.009252303,106.4169896,-57.94852898,161.4787933,
181060030,-8.784584394,-48.86369144,-48.07786433,-39.78421812,3.989299925,105.1156165,-57.91146504,159.9261236,
184061030,-8.763198718,-49.80826393,-48.26444454,-37.59502722,3.964995537,103.8372214,-57.81022039,167.8505636,
187062031,-8.745192388,-50.67216106,-48.29603152,-40.01054392,3.945144804,102.590154,-57.64306979,171.8329779,
190063031,-8.723416807,-51.5509331,-48.48231447,-39.68405783,3.915029567,101.3705281,-57.4267859,173.0586805,
193064032,-8.708635476,-52.44785176,-48.64617277,-42.02783084,3.889692524,100.0883027,-57.99081934,-171.4850653,
196065032,-8.690018381,-53.27933091,-48.36297144,-39.17793127,3.861155849,98.83013712,-56.04617014,-178.4346581,
199066033,-8.673580359,-54.11268227,-48.37141257,-40.39468855,3.835894868,97.57471228,-56.69032639,-170.9518384,
202067033,-8.655854953,-54.9581516,-48.23433159,-41.41003688,3.814077314,96.33427106,-57.21991719,-171.4038363,
205068034,-8.641221613,-55.83260288,-48.26905734,-43.38330523,3.795987591,95.06559314,-57.61676521,-170.8266355,
208069034,-8.621865334,-56.71217485,-48.03568438,-43.44790323,3.779769914,93.81393908,-58.32568863,-165.1886917,
211070035,-8.609386926,-57.60526722,-48.25590987,-43.15334032,3.760961623,92.55920477,-57.80338505,-167.7799916,
214071035,-8.594507068,-58.50426598,-48.16347824,-45.04162913,3.744967193,91.29974543,-59.11521378,-167.1081413,
217072036,-8.576369317,-59.48890401,-48.35421379,-46.72991371,3.73040605,90.02828358,-58.71521523,-165.373077,
220073036,-8.557879925,-60.46502505,-48.18954145,-47.87998765,3.714063087,88.77515243,-58.387264,-173.8814751,
223074037,-8.535882125,-61.41334791,-47.86673597,-48.05121015,3.697489267,87.48859889,-59.34611449,-177.6133052,
226075037,-8.51776843,-62.27004788,-48.28711972,-50.22139917,3.680054826,86.21557153,-59.14984756,177.3269499,
229076038,-8.505841135,-63.10768614,-48.31123707,-51.19842164,3.660950911,84.95338634,-60.04151662,167.9187001,
232077038,-8.488386312,-63.96152652,-47.99380729,-49.72014658,3.637763197,83.68132992,-58.91486255,164.3792416,
235078039,-8.478120779,-64.77377379,-48.16279972,-50.99667741,3.615466075,82.43188531,-58.60939126,155.1593105,
238079039,-8.465058439,-65.58037855,-47.97090508,-54.0368839,3.592059314,81.1278208,-56.75558158,145.5579876,
241080040,-8.456242999,-66.43517719,-48.09397498,-51.98418928,3.570934794,79.81575781,-56.42289802,140.8620932,
244081040,-8.448289044,-67.22056407,-48.03352317,-54.38760331,3.547728001,78.52424865,-55.3281997,138.883993,
247082041,-8.436400688,-68.02532105,-48.13764851,-52.8924863,3.52827581,77.25946882,-53.96228816,135.3777557,
250083041,-8.424785765,-68.80235839,-47.91218885,-54.59358712,3.505348403,76.0060241,-53.61175189,134.3617064,
253084042,-8.397711186,-69.50432588,-47.7669865,-57.67782149,3.498079318,74.78079889,-53.27430379,130.99023,
256085042,-8.353546972,-70.38520503,-47.86527872,-56.95943487,3.49696984,73.48883674,-53.11514757,132.0964693,
259086043,-8.331419602,-71.41592881,-48.10927906,-56.70616438,3.482568047,72.15329411,-53.2276637,134.390407,
262087043,-8.321689437,-72.37478567,-47.95132179,-58.07089153,3.458637588,70.86275004,-52.13866047,137.7730747,
265088044,-8.311993199,-73.3256214,-47.96370676,-59.96610741,3.434709625,69.61148863,-51.65385845,141.3421185,
268089044,-8.294523056,-74.22539997,-47.80401509,-60.6612264,3.413057872,68.37041772,-51.33144258,145.2433551,
271090045,-8.27060745,-75.11541062,-47.80911769,-61.54161288,3.387464331,67.13371279,-50.64798909,147.9125859,
274091045,-8.255131451,-75.85550486,-47.89887466,-63.76372699,3.361111878,65.92557898,-50.37263616,151.6904882,
277092046,-8.235680688,-76.59161247,-47.74248064,-63.34167784,3.337023437,64.66970665,-49.87293977,154.2882559,
280093046,-8.21636585,-77.38403929,-47.9471846,-62.68437867,3.31011224,63.47423081,-49.545374,155.6002444,
283094047,-8.198631704,-78.14238576,-47.61935938,-64.66666588,3.282818054,62.17772298,-49.43335961,159.0855497,
286095047,-8.17964219,-78.85008156,-47.80536661,-65.61085873,3.259318534,60.920545,-49.07800516,162.1027743,
289096048,-8.163081348,-79.57395504,-47.56505503,-65.79054932,3.235130591,59.7024611,-49.24494511,168.1106052,
292097048,-8.14442138,-80.31497883,-47.44871389,-69.42696839,3.211405105,58.44303723,-49.06864567,173.2651562,
295098049,-8.128042162,-81.06410028,-47.82146161,-68.06082108,3.187266462,57.21882655,-49.16408842,172.5135937,
298099049,-8.112459665,-81.77758145,-47.60351697,-69.5473047,3.164477609,56.00457415,-49.16763356,178.0714403,
301100050,-8.097191172,-82.49310758,-47.70475917,-70.7038179,3.139688967,54.82166464,-49.35772841,-177.4123481,
304101050,-8.087836999,-83.26128518,-47.50175887,-72.35295343,3.114674206,53.6278747,-49.81126493,-173.9899256,
307102051,-8.071741669,-83.99444715,-47.83441541,-71.43214717,3.091286574,52.44346045,-49.86567587,-172.9048065,
310103051,-8.056046835,-84.76557216,-47.62262126,-74.04531889,3.066341255,51.27802071,-50.67443885,-170.7269176,
313104052,-8.039014095,-85.5798046,-47.87489145,-75.15757368,3.040395507,50.06916353,-50.66290024,-165.5404064,
316105052,-8.014468823,-86.34221984,-48.03502261,-77.0904694,3.008817881,48.89934343,-51.63266209,-165.2733977,
319106053,-7.993395513,-87.04765579,-47.70937929,-76.37990145,2.98343311,47.67705416,-52.63588265,-163.3897626,
322107053,-7.983919231,-87.75449413,-47.66844155,-77.2083911,2.953988759,46.46509697,-53.34023426,-166.7834078,
325108054,-7.965124479,-88.42521715,-47.78603233,-77.92174849,2.928146919,45.21820284,-55.11644646,-166.3243095,
328109054,-7.951286863,-89.10066604,-47.94171926,-77.81713878,2.900538198,43.96849407,-56.18881069,-175.2849343,
331110055,-7.938840823,-89.7514113,-47.35783938,-77.89941326,2.872887875,42.72076928,-57.37141584,-177.3680117,
334111055,-7.925779097,-90.45254288,-47.67340591,-81.03406627,2.848544249,41.48957739,-57.68616183,174.4164334,
337112056,-7.912222545,-91.12722581,-47.72459253,-78.5396478,2.825455231,40.25683584,-58.97500478,151.436545,
340113056,-7.904200155,-91.76347374,-47.4730841,-80.4590118,2.8024068,39.05513712,-57.94728025,147.2059687,
343114057,-7.8913141,-92.46105032,-47.57611469,-80.71619341,2.780395986,37.8227571,-56.7629737,128.9290286,
346115057,-7.880475611,-93.10761369,-47.85006734,-81.10521087,2.758484883,36.62545873,-56.21030441,121.9207898,
349116058,-7.872184188,-93.77813069,-47.4141013,-82.71076675,2.7369955,35.44930138,-54.08078397,114.5168273,
352117058,-7.850847109,-94.44230654,-47.55387947,-84.63044339,2.710429605,34.28635371,-53.07041077,111.1801343,
355118059,-7.83615714,-95.16311303,-47.54675245,-84.26941548,2.691110641,33.16930321,-52.73242083,112.7389304,
358119059,-7.814769757,-95.81317622,-47.48602409,-84.09608182,2.667863026,32.05158371,-51.43301199,109.870061,
361120060,-7.782368717,-96.51872194,-47.49080579,-85.41378599,2.654131299,30.92302382,-51.67281727,108.9972364,
364121060,-7.742833652,-97.33799173,-47.66287622,-87.9793453,2.634738869,29.70153189,-50.85110313,105.0612764,
367122061,-7.710896767,-98.07748249,-47.26137458,-89.40923463,2.617124655,28.44929991,-50.1089489,107.3652122,
370123061,-7.692429346,-98.79933034,-47.34742601,-90.02367507,2.594379144,27.19845414,-49.28561339,110.4604639,
